English,Arabic
Shut up/Go away (very rude),ياكل تبن
To dominate or steal the show,ياكل الجو
"Man, Dude",يا زلمة
To be unsuccessful; to fail.,ياكل هوا
You're welcome; I'd be happy to do it for you.,على عيني وراسي
Hey man/dude,يا عمي
Shut up or go away,ياكل تبن
He's in big trouble/He's done for,راح فيها
Wow!,يا سلام
Shut up or go away,ياكل تبن
Shut up or get lost,ياكل تبن
Shut up / Go away,ياكل تبن
"Dude, man",يا زلمة
It's too late; the opportunity has passed.,طارت الطيور بأرزاقها
To be unsuccessful; to fail.,ياكل هوا
"Dude, man",يا زلمة
to steal the spotlight; to be the center of attention,ياكل الجو
Shut up!,ياكل تبن
"Dude, man, hey",يا زلمة
Shut up or get lost (very rude),ياكل تبن
"Dude, man, hey",يا عمي
"Hey man, or Dude",يا زلمة
Shut up / You're talking nonsense,ياكل تبن
"Dude, man",يا زلمة
He's done for; He's in big trouble,راح فيها
Dude or man (friendly address),يا زلمة
To dominate or hog all the attention.,ياكل الجو
Shut up or go away,ياكل تبن
"Dude, man",يا زلمة
Shut up,ياكل تبن
"Dude, man, or hey!",يا زلمة
You are very welcome; I am honored to do it for you.,على عيني وراسي
You are very welcome; I would be honored to do that for you.,على عيني وراسي
"Dude, man (exclamation)",يا زلمة
Shut up or go away,ياكل تبن
Shut up; go away,ياكل تبن
Dude,يا زلمة
Shut up or Go away,ياكل تبن
Shut up; Be quiet,ياكل تبن
Dude or Man,يا زلمة
Shut up / Go away,ياكل تبن
"Hey man, bro",يا عمي
Shut up! or go away! (very rude),ياكل تبن
Dude,يا زلمة
Shut up or get lost,ياكل تبن
"You are most welcome, with great pleasure; I am honored.",على عيني وراسي
He's in big trouble / He's done for.,راح فيها
"""Shut up"" or ""go away""",ياكل تبن
Shut up / Get lost / Go away,ياكل تبن
To hog the limelight; to steal the show,ياكل الجو
Shut up/Go away,ياكل تبن
You're very welcome; I'm happy to do it; It's my pleasure.,على عيني وراسي
To dominate or steal the show,ياكل الجو
"Dude, man",يا زلمة
He's done for/He's in trouble,راح فيها
Shut up; Go to hell,ياكل تبن
Hey man / Dude,يا عمي
"Hey man, come on",يا زلمة
Shut up,ياكل تبن
Shut up / Go away (very rude),ياكل تبن
